current_round,agents_data,death_data,birth_data
6,"(154, 340)","(33, 0)","(0, 28)"
7,"(128, 384)","(24, 0)","(0, 44)"
8,"(350, 458)","(0, 0)","(222, 74)"
9,"(273, 466)","(65, 0)","(0, 8)"
10,"(222, 494)","(46, 0)","(4, 28)"
11,"(536, 562)","(34, 0)","(350, 68)"
12,"(416, 582)","(98, 4)","(0, 24)"
13,"(337, 602)","(67, 0)","(0, 20)"
14,"(290, 656)","(50, 0)","(10, 54)"
15,"(731, 738)","(3, 0)","(444, 82)"
16,"(557, 801)","(140, 1)","(0, 64)"
17,"(456, 848)","(107, 1)","(24, 48)"
18,"(1094, 982)","(9, 0)","(648, 134)"
19,"(815, 1056)","(230, 0)","(2, 74)"
20,"(678, 1086)","(150, 0)","(38, 30)"
21,"(1459, 1222)","(116, 0)","(918, 136)"
2,"(89, 300)","(10, 0)","(0, 0)"
3,"(82, 300)","(6, 0)","(0, 0)"
4,"(75, 300)","(7, 0)","(0, 0)"
5,"(205, 314)","(0, 0)","(130, 14)"
6,"(168, 340)","(29, 0)","(0, 26)"
7,"(136, 362)","(29, 0)","(0, 22)"
8,"(320, 408)","(23, 0)","(210, 46)"
9,"(252, 416)","(56, 0)","(0, 8)"
10,"(201, 424)","(41, 0)","(0, 8)"
11,"(175, 472)","(27, 0)","(6, 48)"
12,"(455, 494)","(2, 2)","(282, 24)"
13,"(348, 556)","(85, 0)","(0, 62)"
14,"(290, 588)","(55, 0)","(8, 32)"
15,"(719, 622)","(5, 0)","(434, 34)"
16,"(526, 664)","(155, 2)","(0, 44)"
17,"(443, 706)","(95, 0)","(28, 42)"
18,"(432, 721)","(11, 1)","(0, 16)"
19,"(883, 760)","(33, 1)","(484, 40)"
20,"(658, 798)","(179, 0)","(0, 38)"
21,"(571, 869)","(117, 1)","(54, 72)"
2,"(88, 300)","(10, 0)","(0, 0)"
3,"(80, 300)","(8, 0)","(0, 0)"
4,"(222, 334)","(0, 0)","(142, 34)"
5,"(174, 392)","(41, 0)","(0, 58)"
6,"(146, 392)","(24, 0)","(0, 0)"
7,"(128, 404)","(15, 0)","(0, 12)"
8,"(346, 440)","(0, 0)","(218, 36)"
9,"(277, 456)","(58, 0)","(0, 16)"
10,"(220, 474)","(46, 0)","(0, 18)"
