player_choice,computer_choice,result,round_number,player_health,computer_health,player_char
1,2,2,136,44,68,3
1,2,2,137,44,68,3
1,2,2,138,44,68,3
1,2,2,139,44,68,3
1,2,2,140,44,68,3
1,2,2,141,44,68,3
1,2,2,142,44,68,3
1,2,2,143,44,68,3
1,2,2,144,44,68,3
1,2,2,145,44,68,3
1,2,2,146,44,68,3
1,2,2,147,44,68,3
1,2,2,148,44,68,3
1,2,2,149,44,68,3
1,2,2,150,44,68,3
1,2,2,151,44,68,3
1,2,2,152,44,68,3
1,2,2,153,44,68,3
1,2,2,154,44,68,3
1,2,2,155,44,68,3
1,2,2,156,44,68,3
1,2,2,157,44,68,3
1,2,2,158,44,68,3
1,2,2,159,44,68,3
1,2,2,160,44,68,3
1,2,2,161,44,68,3
1,2,2,162,44,68,3
1,2,2,163,44,68,3
1,2,2,164,44,68,3
1,2,2,165,44,68,3
1,2,2,166,44,68,3
1,2,2,167,44,68,3
1,2,2,168,44,68,3
1,2,2,169,44,68,3
1,2,2,170,44,68,3
1,2,2,171,44,68,3
1,2,2,172,44,68,3
1,2,2,173,44,68,3
1,2,2,174,44,68,3
1,2,2,175,44,68,3
1,2,2,176,44,68,3
1,2,2,177,44,68,3
1,2,2,178,44,68,3
1,2,2,179,44,68,3
1,2,2,180,44,68,3
1,2,2,181,44,68,3
1,2,2,182,44,68,3
1,2,2,183,44,68,3
1,2,2,184,44,68,3
1,2,2,185,44,68,3
1,2,2,186,44,68,3
1,2,2,187,44,68,3
1,2,2,188,44,68,3
1,2,2,189,44,68,3
1,2,2,190,44,68,3
0,2,3,191,44,46,3
0,2,3,192,44,46,3
0,2,3,193,44,46,3
0,2,3,194,44,46,3
0,2,3,195,44,46,3
0,2,3,196,44,46,3
0,2,3,197,44,46,3
1,2,3,198,13,46,3
2,2,3,199,-12,46,3
1,3,0,1,100,100,4
1,3,1,2,100,75,4
1,3,1,3,78,75,4
1,3,1,4,56,75,4
1,3,1,5,56,75,4
1,3,1,6,56,75,4
1,3,1,7,56,75,4
1,3,1,8,56,75,4
1,3,1,9,56,75,4
1,3,1,10,56,75,4
1,3,1,11,56,75,4
1,3,1,12,56,75,4
1,3,1,13,56,75,4
1,3,1,14,56,75,4
1,3,1,15,56,75,4
1,3,1,16,56,75,4
1,3,1,17,56,75,4
1,3,1,18,56,75,4
1,3,1,19,56,75,4
1,3,1,20,56,75,4
1,3,1,21,56,75,4
1,3,1,22,56,75,4
1,3,1,23,56,75,4
1,3,1,24,56,75,4
1,3,1,25,56,75,4
1,3,1,26,56,75,4
1,3,1,27,56,75,4
1,3,1,28,56,75,4
1,3,1,29,56,75,4
1,3,1,30,56,75,4
1,3,1,31,56,75,4
1,3,1,32,56,75,4
1,3,1,33,56,75,4
1,3,1,34,56,75,4
1,3,1,35,56,75,4
1,3,1,36,56,75,4
0,3,2,37,56,53,4
2,3,2,38,56,53,4
0,3,3,39,56,31,4
2,3,3,40,40,31,4
0,3,4,41,40,9,4
1,3,4,42,18,9,4
1,3,4,43,-4,9,4
0,1,1,1,100,75,5
1,2,0,1,69,100,2
1,2,1,2,69,75,2
1,2,2,3,69,50,2
1,2,2,4,38,50,2
1,2,3,5,38,25,2
1,2,4,6,38,0,2
0,0,0,1,100,100,2
0,0,0,2,100,100,2
0,0,0,3,100,100,2
0,0,0,4,100,100,2
0,0,0,5,100,100,2
0,0,0,6,100,100,2
0,0,1,7,100,69,2
0,0,2,8,100,38,2
0,0,2,9,100,38,2
0,0,2,10,84,38,2
0,0,2,11,68,38,2
0,0,3,12,68,7,2
0,0,4,13,68,-24,2
1,1,1,1,100,81,1
